time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates,Time Difference
26885,800,4,2698,9,6721.25,0.7445925,0.005,0.001,0,2698
50300,950,8,4747,10,6287.5,0.52215,0.005847286,0.000949704,74,2049
57405,1133.333333,12,5475,10,4783.75,0.4546525,3.06E-05,0.000942596,1851,728
65949,1850.625,16,6292,10,4121.8125,0.3734845,0.000260026,0.000934052,3987,817
74662,1700.5,20,6976,10,3733.1,0.290711,1.76E-05,0.00092534,6165,684
81355,1650.416667,24,7508,10,3389.791667,0.2271275,9.40E-05,0.000918648,7838,532
91703,1722.142857,28,8327,11,3275.107143,0.1288215,3.27E-05,0.0009083,10425,819
102273,1581.875,32,9166,11,3196.03125,0.05,2.74E-06,0.000897728,13068,839
107994,1483.888889,36,9639,11,2999.833333,0.05,3.67E-05,0.000892008,14498,473
113681,1395.5,40,10088,11,2842.025,0.05,1.10E-05,0.00088632,15920,449
117947,1309.545455,44,10422,11,2680.613636,0.05,6.234464169,0.000882056,16986,334
123525,1229.583333,48,10860,11,2573.4375,0.05,5.36E-05,0.000876476,18381,438
128414,1146.538462,52,11243,11,2469.5,0.05,0.000116067,0.000871588,19603,383
135329,1196.964286,56,11786,11,2416.589286,0.05,6.233905792,0.000864672,21332,543
143742,1183.833333,60,12441,11,2395.7,0.05,1.10E-05,0.00085626,23435,655
148852,1122.34375,64,12840,11,2325.8125,0.05,2.97E-05,0.000851152,24712,399
155832,1109.264706,68,13384,11,2291.647059,0.05,1.72E-05,0.000844172,26457,544
161618,1069.861111,72,13837,11,2244.694444,0.05,1.50E-05,0.000838384,27904,453
170681,1063.552632,76,14542,11,2245.802632,0.05,0.000167924,0.00082932,30170,705
177119,1042.875,80,15034,11,2213.9875,0.05,2.21E-05,0.000822884,31779,492
187286,1014.642857,84,15840,11,2229.595238,0.05,1.86E-05,0.000812716,34321,806
198017,1073.295455,88,16687,11,2250.193182,0.05,12.48341751,0.000801984,37004,847
201795,1050.543478,92,16973,11,2193.423913,0.05,8.86E-05,0.000798208,37948,286
207740,1035.9375,96,17435,11,2163.958333,0.05,7.16E-05,0.000792264,39434,462
214501,1034.8,100,17947,11,2145.01,0.05,8.91E-05,0.0007855,41125,512
219033,1012.8,104,18307,11,1921.48,0.05,8.05E-05,0.000780968,42258,360
231607,988.8,108,19270,12,1813.07,0.05,0.000146551,0.000768396,45401,963
243576,952.9,112,20190,12,1861.71,0.05,2.82E-05,0.000756428,48393,920
259211,1067.1,116,21392,12,1932.62,0.05,4.84E-05,0.000740792,52302,1202
267177,1065.1,120,21991,12,1925.15,0.05,6.234441757,0.000732824,54294,599
272141,1011.1,124,22379,12,1907.86,0.05,1.04E-05,0.00072786,55535,388
278314,1107,128,22848,12,1866.11,0.05,3.29E-06,0.000721688,57078,469
284761,1117,132,23348,12,1824.88,0.05,1.52E-05,0.00071524,58690,500
290770,1103,136,23818,12,1827.76,0.05,3.48E-05,0.000709232,60192,470
297347,1111.1,140,24337,12,1836.66,0.05,0.000106011,0.000702656,61836,519
306690,1179.2,144,25042,12,1887.43,0.05,0.000108588,0.000693312,64172,705
317659,1225.3,148,25885,12,1941.34,0.05,0.000100236,0.000682344,66914,843
324791,1257.3,152,26436,12,1963.77,0.05,0.00015635,0.000675212,68697,551
331630,1217.2,156,26970,12,1963.01,0.05,0.000310639,0.000668372,70407,534
345853,1217.2,160,28066,12,2021.11,0.05,1.55E-05,0.000654148,73963,1096
351921,1241.2,164,28532,12,2030.69,0.05,6.13E-05,0.00064808,75480,466
356087,1207.2,168,28861,12,2002.55,0.05,1.86E-05,0.000643916,76521,329
367421,1283.2,172,29741,12,2058.03,0.05,7.55E-05,0.00063258,79355,880
375362,1281.3,176,30361,12,2046.81,0.05,3.51E-05,0.00062464,81340,620
381102,1273.3,180,30804,12,2039.83,0.05,7.39E-05,0.0006189,82775,443
387833,1273.3,184,31325,12,2005.47,0.05,7.25E-05,0.000612168,84458,521
393599,1195.1,188,31770,12,1955.82,0.05,3.44E-05,0.000606404,85899,445
397510,1183.1,192,32075,12,1957.15,0.05,2.74E-05,0.000602492,86877,305
403674,1171.1,196,32554,12,1959.34,0.05,0.000213654,0.000596328,88418,479
409725,1148.8,200,33020,12,1952.24,0.05,3.46E-05,0.000590276,89931,466
414299,1146.8,204,33378,12,1952.66,0.05,2.06E-06,0.000585704,91074,358
423430,1264.9,208,34080,12,1918.23,0.05,9.35E-05,0.000576572,93357,702
428739,1268.8,212,34555,12,1851.63,0.05,4.82E-05,0.000571264,94684,475
432430,998.5,216,34844,12,1732.19,0.05,0.000138272,0.000567572,95607,289
439840,968.5,220,35414,12,1726.63,0.05,2.16E-05,0.000560164,97459,570
447384,1148.5,224,35990,12,1752.43,0.05,0.000136928,0.00055262,99345,576
452379,988.5,228,36384,12,1740.65,0.05,0.000212318,0.000547624,100594,394
457913,972.5,232,36816,12,1731.52,0.05,4.25E-05,0.000542088,101978,432
463180,972.5,236,37221,12,1724.1,0.05,8.11E-06,0.000536824,103294,405
468209,962.4,240,37611,12,1708.62,0.05,0.000100756,0.000531792,104552,390
473613,892.3,244,38036,12,1669.23,0.05,0.000357981,0.000526388,105903,425
482480,846.3,248,38722,12,1648.21,0.05,1.27E-05,0.000517524,108119,686
493004,894.6,252,39513,12,1682.13,0.05,2.61E-05,0.000507,110750,791
498766,878.6,256,39963,12,1671.36,0.05,5.23E-05,0.000501236,112191,450
503169,844.6,260,40306,12,1573.16,0.05,4.28E-05,0.000496832,113292,343
510078,856.6,264,40847,12,1581.57,0.05,5.16E-05,0.000489924,115019,541
516752,910.6,268,41367,12,1606.65,0.05,31.23453903,0.000483252,116687,520
521103,826.6,272,41706,12,1536.82,0.05,4.15E-05,0.0004789,117775,339
525055,818.5,276,42014,12,1496.93,0.05,3.95E-05,0.000474948,118763,308
531113,834.6,280,42488,12,1500.11,0.05,5.88E-05,0.000468888,120278,474
536986,822.6,284,42941,12,1491.53,0.05,2.32E-05,0.000463016,121746,453
546061,846.8,288,43651,12,1524.62,0.05,31.23436165,0.00045394,124015,710
552997,874.8,292,44189,12,1554.87,0.05,4.18E-06,0.000447004,125749,538
562830,896.9,296,44953,12,1591.56,0.05,1.23E-05,0.000437172,128207,764
569198,884.9,300,45444,12,1594.73,0.05,4.96E-05,0.000430804,129799,491
574567,898.9,304,45862,12,1602.68,0.05,4.74E-05,0.000425436,131141,418
578107,774.8,308,46138,12,1546.77,0.05,2.41E-05,0.000421896,132026,276
583017,754.8,312,46514,12,1542.78,0.05,0.000138059,0.000416984,133254,376
592222,764.8,316,47246,12,1597.92,0.05,2.00E-05,0.00040778,135555,732
597739,766.8,320,47678,12,1578.99,0.05,1.39E-05,0.000402264,136934,432
603769,596.8,324,48152,12,1563.85,0.05,1.91E-05,0.000396232,138442,474
609285,590.8,328,48585,12,1569.06,0.05,1.10E-06,0.000390716,139821,433
621117,586.8,332,49490,12,1632.04,0.05,5.72E-07,0.000378884,142779,905
625911,576.8,336,49869,12,1627.31,0.05,6.47E-06,0.000374092,143977,379
632979,576.8,340,50423,12,1647.7,0.05,2.47E-05,0.000367024,145744,554
639758,574.8,344,50949,12,1661.45,0.05,6.93E-05,0.000360244,147439,526
646419,636.8,348,51476,12,1639.39,0.05,8.03E-05,0.000353584,149104,527
651581,568.5,352,51884,12,1585.77,0.05,9.25E-06,0.00034842,150395,408
656447,560.5,356,52263,12,1576.81,0.05,3.63E-05,0.000343556,151611,379
661059,558.5,360,52622,12,1578.9,0.05,2.76E-05,0.000338944,152764,359
668917,528.5,364,53218,12,1588.39,0.05,0.000185917,0.000331084,154729,596
675706,490.5,368,53731,12,1589.54,0.05,9.99E-05,0.000324296,156426,513
682741,482.5,372,54283,12,1616.38,0.05,1.60E-05,0.00031726,158185,552
687479,460.5,376,54654,12,1624.24,0.05,1.85E-06,0.000312524,159369,371
692413,434.4,380,55040,12,1613,0.05,1.72E-05,0.000307588,160603,386
702436,436.4,384,55827,12,1654.5,0.05,1.12E-05,0.000297568,163108,787
707427,412.2,388,56221,12,1613.66,0.05,8.36E-06,0.000292576,164356,394
716203,598.6,392,56907,12,1632.06,0.05,0.000119076,0.0002838,166550,686
723869,588.5,396,57491,12,1610.39,0.05,8.57E-05,0.000276132,168467,584
729952,594.5,400,57962,12,1607.54,0.05,3.78E-05,0.000270052,169987,471
734061,590.5,404,58282,12,1594.94,0.05,3.44E-06,0.00026594,171015,320
743379,594.5,408,59073,12,1652.72,0.05,2.30E-05,0.000256624,173344,791
751002,594.5,412,59654,12,1679.85,0.05,3.37E-06,0.000249,175250,581
761964,606.6,416,60482,12,1697.42,0.05,5.65E-05,0.00023804,177990,828
767988,602.6,420,60946,12,1702.49,0.05,0.000151217,0.000232016,179496,464
776740,616.6,424,61612,12,1729.71,0.05,1.29E-05,0.000223264,181684,666
781959,614.6,428,62018,12,1726.74,0.05,2.80E-05,0.000218044,182989,406
788061,614.6,432,62495,12,1669.44,0.05,1.62E-05,0.00021194,184515,477
796363,670.6,436,63148,12,1704.52,0.05,3.84E-05,0.00020364,186590,653
801323,664.6,440,63532,12,1683.44,0.05,3.95E-07,0.00019868,187830,384
807642,654.6,444,64021,12,1678.84,0.05,1.53E-05,0.00019236,189410,489
812636,586.5,448,64414,12,1662.17,0.05,4.20E-06,0.000187368,190658,393
817289,594.5,452,64776,12,1657.08,0.05,3.98E-05,0.000182712,191822,362
823891,608.5,456,65287,12,1674.44,0.05,5.10E-06,0.000176112,193472,511
834061,624.5,460,66072,12,1730.02,0.05,6.21E-06,0.00016594,196015,785
839191,656.5,464,66468,12,1702.74,0.05,2.47E-05,0.000160812,197297,396
845035,654.5,468,66927,12,1693.29,0.05,1.26E-05,0.000154968,198758,459
852672,704.5,472,67513,12,1699.31,0.05,1.87E-06,0.000147332,200667,586
862222,1153.5,476,68244,12,1747.43,0.05,6.14E-05,0.00013778,203055,731
865783,1169.5,480,68520,12,1733.7,0.05,3.25E-05,0.00013422,203945,276
875152,1205.5,484,69253,12,1727.16,0.05,1.86E-06,0.000124852,206287,733
889158,1217.5,488,70296,12,1817.31,0.05,1.12E-06,0.000110844,209789,1043
899444,1051.3,492,71092,12,1832.41,0.05,31.23440552,0.00010056,212360,796
907737,1035.3,496,71710,12,1838.68,0.05,1.83E-06,9.23E-05,214434,618
914925,1039.3,500,72271,12,1849.73,0.05,8.43E-06,8.51E-05,216231,561
921208,1027.3,504,72758,12,1871.47,0.05,1.78E-05,7.88E-05,217801,487
925871,1027.3,508,73109,12,1824.92,0.05,1.28E-05,7.41E-05,218967,351
932117,1025.3,512,73598,12,1811.15,0.05,3.35E-06,6.79E-05,220529,489
943277,1123.3,516,74458,12,1813.13,0.05,2.20E-06,5.67E-05,223319,860
949500,1131.3,520,74935,12,1815.12,0.05,1.54E-05,5.05E-05,224874,477
956414,1137.3,524,75469,12,1796.74,0.05,3.89E-06,4.36E-05,226603,534
960343,1131.3,528,75767,12,1783.84,0.05,6.234220028,3.97E-05,227585,298
965991,1175.3,532,76188,12,1779.3,0.05,2.52E-06,3.40E-05,228997,421
969702,1125.3,536,76464,12,1733.39,0.05,6.23428297,3.03E-05,229925,276
973621,1121.3,540,76763,12,1722.98,0.05,4.96E-06,2.64E-05,230905,299
986612,1265.6,544,77727,12,1789.7,0.05,1.41E-06,1.34E-05,234152,964
994926,1324,548,78358,12,1822.9,0.05,2.69E-06,5.08E-06,236231,631
